image_id,path,dataset,shear_stress,supplementation,replicate,channel_1,channel_2,channel_3,channel_4
EGM2_regular_6dyn-79,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-79.tif,S-BIAD1540,6dyne,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-80,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-80.tif,S-BIAD1540,6dyne,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-81,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-81.tif,S-BIAD1540,6dyne,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-82,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-82.tif,S-BIAD1540,6dyne,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-83,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-83.tif,S-BIAD1540,6dyne,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-84,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-84.tif,S-BIAD1540,6dyne,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-85,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-85.tif,S-BIAD1540,6dyne,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-86,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-86.tif,S-BIAD1540,6dyne,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-87,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-87.tif,S-BIAD1540,6dyne,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-88,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-88.tif,S-BIAD1540,6dyne,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-89,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-89.tif,S-BIAD1540,6dyne,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_6dyn-90,data/S-BIAD1540/images_egm2/EGM2_regular_6dyn-90.tif,S-BIAD1540,6dyne,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-01,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-01.tif,S-BIAD1540,high_shear,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-02,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-02.tif,S-BIAD1540,high_shear,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-03,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-03.tif,S-BIAD1540,high_shear,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-04,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-04.tif,S-BIAD1540,high_shear,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-05,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-05.tif,S-BIAD1540,high_shear,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-06,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-06.tif,S-BIAD1540,high_shear,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-07,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-07.tif,S-BIAD1540,high_shear,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-08,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-08.tif,S-BIAD1540,high_shear,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-09,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-09.tif,S-BIAD1540,high_shear,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-10,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-10.tif,S-BIAD1540,high_shear,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-51,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-51.tif,S-BIAD1540,high_shear,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-52,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-52.tif,S-BIAD1540,high_shear,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-53,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-53.tif,S-BIAD1540,high_shear,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-54,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-54.tif,S-BIAD1540,high_shear,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-55,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-55.tif,S-BIAD1540,high_shear,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-56,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-56.tif,S-BIAD1540,high_shear,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-57,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-57.tif,S-BIAD1540,high_shear,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-58,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-58.tif,S-BIAD1540,high_shear,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-59,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-59.tif,S-BIAD1540,high_shear,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-60,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-60.tif,S-BIAD1540,high_shear,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-61,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-61.tif,S-BIAD1540,high_shear,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-62,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-62.tif,S-BIAD1540,high_shear,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-63,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-63.tif,S-BIAD1540,high_shear,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-64,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-64.tif,S-BIAD1540,high_shear,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-65,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-65.tif,S-BIAD1540,high_shear,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-66,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-66.tif,S-BIAD1540,high_shear,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-67,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-67.tif,S-BIAD1540,high_shear,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-68,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-68.tif,S-BIAD1540,high_shear,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-69,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-69.tif,S-BIAD1540,high_shear,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_18-20dyn-70,data/S-BIAD1540/images_egm2/EGM2_regular_18-20dyn-70.tif,S-BIAD1540,high_shear,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-11,data/S-BIAD1540/images_egm2/EGM2_regular_static-11.tif,S-BIAD1540,static,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-12,data/S-BIAD1540/images_egm2/EGM2_regular_static-12.tif,S-BIAD1540,static,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-13,data/S-BIAD1540/images_egm2/EGM2_regular_static-13.tif,S-BIAD1540,static,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-14,data/S-BIAD1540/images_egm2/EGM2_regular_static-14.tif,S-BIAD1540,static,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-15,data/S-BIAD1540/images_egm2/EGM2_regular_static-15.tif,S-BIAD1540,static,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-16,data/S-BIAD1540/images_egm2/EGM2_regular_static-16.tif,S-BIAD1540,static,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-17,data/S-BIAD1540/images_egm2/EGM2_regular_static-17.tif,S-BIAD1540,static,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-18,data/S-BIAD1540/images_egm2/EGM2_regular_static-18.tif,S-BIAD1540,static,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-19,data/S-BIAD1540/images_egm2/EGM2_regular_static-19.tif,S-BIAD1540,static,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-20,data/S-BIAD1540/images_egm2/EGM2_regular_static-20.tif,S-BIAD1540,static,EGM2,rep 1,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-31,data/S-BIAD1540/images_egm2/EGM2_regular_static-31.tif,S-BIAD1540,static,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-32,data/S-BIAD1540/images_egm2/EGM2_regular_static-32.tif,S-BIAD1540,static,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-33,data/S-BIAD1540/images_egm2/EGM2_regular_static-33.tif,S-BIAD1540,static,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-34,data/S-BIAD1540/images_egm2/EGM2_regular_static-34.tif,S-BIAD1540,static,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-35,data/S-BIAD1540/images_egm2/EGM2_regular_static-35.tif,S-BIAD1540,static,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-36,data/S-BIAD1540/images_egm2/EGM2_regular_static-36.tif,S-BIAD1540,static,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-37,data/S-BIAD1540/images_egm2/EGM2_regular_static-37.tif,S-BIAD1540,static,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-38,data/S-BIAD1540/images_egm2/EGM2_regular_static-38.tif,S-BIAD1540,static,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-39,data/S-BIAD1540/images_egm2/EGM2_regular_static-39.tif,S-BIAD1540,static,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-40,data/S-BIAD1540/images_egm2/EGM2_regular_static-40.tif,S-BIAD1540,static,EGM2,rep 2,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-41,data/S-BIAD1540/images_egm2/EGM2_regular_static-41.tif,S-BIAD1540,static,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-42,data/S-BIAD1540/images_egm2/EGM2_regular_static-42.tif,S-BIAD1540,static,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-43,data/S-BIAD1540/images_egm2/EGM2_regular_static-43.tif,S-BIAD1540,static,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-44,data/S-BIAD1540/images_egm2/EGM2_regular_static-44.tif,S-BIAD1540,static,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-45,data/S-BIAD1540/images_egm2/EGM2_regular_static-45.tif,S-BIAD1540,static,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-46,data/S-BIAD1540/images_egm2/EGM2_regular_static-46.tif,S-BIAD1540,static,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-47,data/S-BIAD1540/images_egm2/EGM2_regular_static-47.tif,S-BIAD1540,static,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-48,data/S-BIAD1540/images_egm2/EGM2_regular_static-48.tif,S-BIAD1540,static,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-49,data/S-BIAD1540/images_egm2/EGM2_regular_static-49.tif,S-BIAD1540,static,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
EGM2_regular_static-50,data/S-BIAD1540/images_egm2/EGM2_regular_static-50.tif,S-BIAD1540,static,EGM2,rep 3,GM130,DAPI,VE-cadherin,-
060721_EGM2_18dyn03,data/S-BIAD1540/images_egm2/060721_EGM2_18dyn03.tif,S-BIAD1540,high_shear,EGM2,rep1,GM130,DAPI,VE-cadherin,-
resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-1-P1,data/S-BIAD1540/images_egm2/resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-1-P1.tif,S-BIAD1540,static,EGM2,rep1,GM130,DAPI,VE-cadherin,-
resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-2-P2,data/S-BIAD1540/images_egm2/resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-2-P2.tif,S-BIAD1540,static,EGM2,rep1,GM130,DAPI,VE-cadherin,-
resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-3-P3,data/S-BIAD1540/images_egm2/resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-3-P3.tif,S-BIAD1540,static,EGM2,rep1,GM130,DAPI,VE-cadherin,-
resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4,data/S-BIAD1540/images_egm2/resized1024_8bit_zMAX231005_slide_ebm2_statcont_488notch_555fak_647vecad-01-Scene-4-P4.tif,S-BIAD1540,static,EGM2,rep1,GM130,DAPI,VE-cadherin,-
resized1024_8bit_zMAX231005_slide_egm2_2hfow_488phosphopax_emissionfix_555fak_647vecad_lowerres-01-,data/S-BIAD1540/images_egm2/resized1024_8bit_zMAX231005_slide_egm2_2hfow_488phosphopax_emissionfix_555fak_647vecad_lowerres-01-.tif,S-BIAD1540,high_shear,EGM2,rep1,GM130,DAPI,VE-cadherin,-
resized1024_8bit_zMAX231005_slide_egm2_2hfow_488phosphopax_emissionfix_555fak_647vecad_lowerres-02,data/S-BIAD1540/images_egm2/resized1024_8bit_zMAX231005_slide_egm2_2hfow_488phosphopax_emissionfix_555fak_647vecad_lowerres-02.tif,S-BIAD1540,high_shear,EGM2,rep1,GM130,DAPI,VE-cadherin,-
resized1024_8bit_zMAX231005_slide_egm2_2hfow_488phosphopax_emissionfix_555fak_647vecad_lowerres-03,data/S-BIAD1540/images_egm2/resized1024_8bit_zMAX231005_slide_egm2_2hfow_488phosphopax_emissionfix_555fak_647vecad_lowerres-03.tif,S-BIAD1540,high_shear,EGM2,rep1,GM130,DAPI,VE-cadherin,-
resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-1-P1,data/S-BIAD1540/images_egm2/resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-1-P1.tif,S-BIAD1540,high_shear,EGM2,rep1,GM130,DAPI,VE-cadherin,-
resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-2-P2,data/S-BIAD1540/images_egm2/resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-2-P2.tif,S-BIAD1540,high_shear,EGM2,rep1,GM130,DAPI,VE-cadherin,-
resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-3-P3,data/S-BIAD1540/images_egm2/resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-3-P3.tif,S-BIAD1540,high_shear,EGM2,rep1,GM130,DAPI,VE-cadherin,-
resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-4-P4,data/S-BIAD1540/images_egm2/resized1024_8bit_zMAX231005_slide_egm2_flowltr_30min_488notch_emissionfix_555fak_647vecad-01-Scene-4-P4.tif,S-BIAD1540,high_shear,EGM2,rep1,GM130,DAPI,VE-cadherin,-
